TIMESTAMP,TIME,RAW,CURRENT
14:09:31 17/05/24,1715965771.7432642,0.0275,2.3936196012510855
14:09:42 17/05/24,1715965782.7801216,0.0276,2.4037068483624497
14:09:53 17/05/24,1715965793.8169117,0.0273,2.373445138182403
14:10:04 17/05/24,1715965804.8532317,0.0274,2.3835323645244033
14:10:15 17/05/24,1715965815.8894584,0.0273,2.373445138182403
14:10:26 17/05/24,1715965826.9267876,0.0273,2.373445138182403
14:10:37 17/05/24,1715965837.9631865,0.0275,2.3936196012510855
14:10:48 17/05/24,1715965848.999809,0.0273,2.373445138182403
14:11:00 17/05/24,1715965860.036588,0.027,2.3431835214644914
14:11:11 17/05/24,1715965871.0733101,0.0269,2.333096336661218
14:11:22 17/05/24,1715965882.1092837,0.0272,2.3633579222250836
14:11:33 17/05/24,1715965893.1465309,0.0267,2.312921998208717
14:11:44 17/05/24,1715965904.182836,0.0266,2.3028348445594884
14:11:55 17/05/24,1715965915.2195933,0.027,2.3431835214644914
14:12:06 17/05/24,1715965926.2558854,0.0265,2.292747701294942
14:12:17 17/05/24,1715965937.8765852,0.0265,2.292747701294942
14:12:28 17/05/24,1715965948.913357,0.0268,2.3230091622426263
14:12:39 17/05/24,1715965959.9499083,0.0265,2.292747701294942
14:12:50 17/05/24,1715965970.986038,0.0262,2.262486333809394
14:13:02 17/05/24,1715965982.0226436,0.0267,2.312921998208717
14:13:13 17/05/24,1715965993.059738,0.0265,2.292747701294942
14:13:24 17/05/24,1715966004.0969434,0.0261,2.252399232083575
14:13:35 17/05/24,1715966015.1332967,0.0261,2.252399232083575
14:13:46 17/05/24,1715966026.1700027,0.0258,2.222137989214208
14:13:57 17/05/24,1715966037.2067258,0.0255,2.1918768398069775
14:14:08 17/05/24,1715966048.2434623,0.0256,2.201963879224706
14:14:19 17/05/24,1715966059.2809927,0.0254,2.1817898107739313
14:14:30 17/05/24,1715966070.3189392,0.0258,2.222137989214208
14:14:41 17/05/24,1715966081.3568473,0.0257,2.212050929027116
14:14:52 17/05/24,1715966092.9599705,0.0256,2.201963879224706
14:15:03 17/05/24,1715966103.997001,0.0256,2.201963879224706
14:15:15 17/05/24,1715966115.0340695,0.0257,2.212050929027116
14:15:26 17/05/24,1715966126.0726378,0.0256,2.201963879224706
14:15:37 17/05/24,1715966137.109808,0.0256,2.201963879224706
14:15:48 17/05/24,1715966148.1468635,0.0252,2.1616157838618832
14:15:59 17/05/24,1715966159.1834764,0.025,2.1414417984885628
14:16:10 17/05/24,1715966170.2198753,0.0253,2.171702792125566
14:16:21 17/05/24,1715966181.2568188,0.0255,2.1918768398069775
14:16:32 17/05/24,1715966192.293126,0.0252,2.1616157838618832
14:16:43 17/05/24,1715966203.329607,0.0252,2.1616157838618832
14:16:54 17/05/24,1715966214.3665757,0.0251,2.151528785982882
14:17:05 17/05/24,1715966225.4035206,0.0249,2.131354821378925
14:17:16 17/05/24,1715966236.4398456,0.0249,2.131354821378925
14:17:27 17/05/24,1715966247.4758756,0.0248,2.121267854653969
14:17:39 17/05/24,1715966259.0902815,0.0249,2.131354821378925
14:17:50 17/05/24,1715966270.1279266,0.0248,2.121267854653969
14:18:01 17/05/24,1715966281.165843,0.0247,2.111180898313695
14:18:12 17/05/24,1715966292.2035463,0.0246,2.101093952358103
14:18:23 17/05/24,1715966303.2399397,0.0247,2.111180898313695
14:18:34 17/05/24,1715966314.2776875,0.0247,2.111180898313695
14:18:45 17/05/24,1715966325.3159497,0.0245,2.091007016787193
14:18:56 17/05/24,1715966336.5543036,0.0248,2.121267854653969
14:19:07 17/05/24,1715966347.591714,0.0242,2.060746272382552
14:19:18 17/05/24,1715966358.631528,0.0244,2.0809200916009645
14:19:29 17/05/24,1715966369.668355,0.0246,2.101093952358103
14:19:40 17/05/24,1715966380.7054522,0.0247,2.111180898313695
14:19:51 17/05/24,1715966391.7427876,0.0241,2.050659378350369
14:20:02 17/05/24,1715966402.7795417,0.0239,2.030485621440048
14:20:14 17/05/24,1715966414.3653636,0.0242,2.060746272382552
14:20:25 17/05/24,1715966425.4019313,0.0241,2.050659378350369
14:20:36 17/05/24,1715966436.6410294,0.0239,2.030485621440048
14:20:47 17/05/24,1715966447.6782312,0.0237,2.010311906068454
14:20:58 17/05/24,1715966458.7143166,0.024,2.0405724947028676
14:21:09 17/05/24,1715966469.7514124,0.0241,2.050659378350369
14:21:20 17/05/24,1715966480.7883863,0.0239,2.030485621440048
14:21:31 17/05/24,1715966491.8252969,0.0237,2.010311906068454
14:21:42 17/05/24,1715966502.8619733,0.0237,2.010311906068454
14:21:53 17/05/24,1715966513.898274,0.0239,2.030485621440048
14:22:04 17/05/24,1715966524.9358256,0.024,2.0405724947028676
14:22:15 17/05/24,1715966535.9732265,0.0237,2.010311906068454
14:22:27 17/05/24,1715966547.009632,0.0237,2.010311906068454
14:22:38 17/05/24,1715966558.0467703,0.0233,1.9699645999414477
14:22:49 17/05/24,1715966569.0833476,0.0236,2.0002250639596793
14:23:00 17/05/24,1715966580.7243161,0.0235,1.9901382322355872
14:23:11 17/05/24,1715966591.7619867,0.0234,1.9800514108961762
14:23:22 17/05/24,1715966602.7998855,0.0235,1.9901382322355872
14:23:33 17/05/24,1715966613.836644,0.0232,1.9598777993714003
14:23:44 17/05/24,1715966624.873314,0.0232,1.9598777993714003
14:23:55 17/05/24,1715966635.9098022,0.0234,1.9800514108961762
14:24:06 17/05/24,1715966646.9470243,0.0234,1.9800514108961762
14:24:17 17/05/24,1715966657.983613,0.0232,1.9598777993714003
14:24:29 17/05/24,1715966669.0213394,0.0233,1.9699645999414477
14:24:40 17/05/24,1715966680.0589395,0.0231,1.9497910091860349
14:24:51 17/05/24,1715966691.0966034,0.0235,1.9901382322355872
14:25:02 17/05/24,1715966702.1332517,0.0231,1.9497910091860349
14:25:13 17/05/24,1715966713.1688087,0.0231,1.9497910091860349
14:25:24 17/05/24,1715966724.2065773,0.0232,1.9598777993714003
14:25:35 17/05/24,1715966735.8467607,0.023,1.9397042293853515
14:25:46 17/05/24,1715966746.8846939,0.0229,1.9296174599693496
